*Lisp,Parallel programming
.QL,Multi-paradigm programming language
.QL,Logic programming language
.QL,Object-oriented programming language
A++,Functional programming
A++,Logic programming
A++,Imperative programming
A++,Object-oriented programming
A++,Multi-paradigm programming language
A+,Array programming
ABAP,Structured programming
ABAP,Imperative programming
ABAP,Object-oriented programming
ABC,Procedural programming
ABC,Structured programming
ABC,Imperative programming
ABC,Multi-paradigm programming language
ACL2,Functional programming
ACL2,Metaprogramming
ALGOL,Procedural programming
ALGOL,Structured programming
ALGOL,Imperative programming
ALGOL 58,Procedural programming
ALGOL 58,Structured programming
ALGOL 58,Imperative programming language
ALGOL 60,Procedural programming
ALGOL 60,Structured programming
ALGOL 60,Imperative programming
ALGOL 68,Concurrent programming language
ALGOL 68,Imperative programming
ALGOL 68,Multi-paradigm programming language
ALGOL W,Procedural programming
ALGOL W,Structured programming
ALGOL W,Imperative programming
AMOS,Procedural programming
AMOS,Imperative programming
AMPL,Imperative programming
AMPL,Multi-paradigm programming language
AMPL,Declarative programming
ANSI/ISO C Specification Language,declarative with few imperative features.
APL,Functional programming
APL,Structured programming
APL,Array programming
APL,Modular programming
ATS,Functional programming
ATS,Imperative programming
ATS,Multi-paradigm programming language
AWK,Procedural programming
AWK,Data-driven programming
AWK,Scripting language
Abstract State Machine Language,Functional programming
Absys,Logic programming
ActionScript,"Multi-paradigm: object-oriented , functional, imperative, scripting"
ActiveVFP,Fourth-generation programming language
ActiveVFP,Procedural programming
ActiveVFP,Object-oriented programming
Ada,Multi-paradigm programming language
Agda,Functional programming
AgentSheets,"object-oriented, educational, Conversational Programming"
AgentSpeak,Agent-oriented programming
Albatross,"Functional, Imperative, Statically Verified, object-oriented"
Aldor,Logic programming
Aldor,Imperative programming
Aldor,Functional (programming)
Aldor,Multi-paradigm programming language
Aldor,Object-oriented (programming)
Aldor,Dependent type
Alef,Compiled language
Alef,Structured programming
Alef,Concurrent programming
Algebraic Logic Functional programming language,Functional programming
Algebraic Logic Functional programming language,Logic programming
Algebraic Logic Functional programming language,Multi-paradigm programming language
Alice,Functional programming
Alice,Concurrent programming language
Alice,Imperative programming
Alice,Multi-paradigm programming language
Alice,Distributed programming
Alma-0,Logic programming
Alma-0,Constraint programming
Alma-0,Imperative programming
Alma-0,Multi-paradigm programming language
AmbientTalk,object-oriented  Concurrent Event-driven Reflective
AngelScript,"Multi-paradigm: scripting, imperative"
AntLang,Functional programming
AntLang,Array programming
AppleScript,Natural language programming
AppleScript,Scripting language
AspectJ,Aspect-oriented programming
